0
1,s0 -> s0
2,s1 -> s0
3,s2 -> s0
4,s3 -> s0
5,s4 -> s0
6,s0 -> s1
7,s1 -> s1
8,s2 -> s1
9,s3 -> s1
10,s4 -> s1
11,s0 -> s2
12,s1 -> s2
13,s2 -> s2
14,s3 -> s2
15,s4 -> s2
16,s0 -> s3
17,s1 -> s3
18,s2 -> s3
19,s3 -> s3
20,s4 -> s3
21,s0 -> s4
22,s1 -> s4
23,s2 -> s4
24,s3 -> s4
25,s4 -> s4
2955,s4 -> s0,s2 -> s3,s3 -> s0
2956,s0 -> s1,s2 -> s3,s3 -> s0
2957,s1 -> s1,s2 -> s3,s3 -> s0
2958,s2 -> s1,s2 -> s3,s3 -> s0
2959,s3 -> s1,s2 -> s3,s3 -> s0
2960,s4 -> s1,s2 -> s3,s3 -> s0
2961,s0 -> s2,s2 -> s3,s3 -> s0
2962,s1 -> s2,s2 -> s3,s3 -> s0
2963,s2 -> s2,s2 -> s3,s3 -> s0
2964,s3 -> s2,s2 -> s3,s3 -> s0
2965,s4 -> s2,s2 -> s3,s3 -> s0
2966,s0 -> s3,s2 -> s3,s3 -> s0
2967,s1 -> s3,s2 -> s3,s3 -> s0
2968,s2 -> s3,s2 -> s3,s3 -> s0
2969,s3 -> s3,s2 -> s3,s3 -> s0
2970,s4 -> s3,s2 -> s3,s3 -> s0
2971,s0 -> s4,s2 -> s3,s3 -> s0
2972,s1 -> s4,s2 -> s3,s3 -> s0
2973,s2 -> s4,s2 -> s3,s3 -> s0
2974,s3 -> s4,s2 -> s3,s3 -> s0
2975,s4 -> s4,s2 -> s3,s3 -> s0
2976,s0 -> s0,s3 -> s3,s3 -> s0
2977,s1 -> s0,s3 -> s3,s3 -> s0
2978,s2 -> s0,s3 -> s3,s3 -> s0
2979,s3 -> s0,s3 -> s3,s3 -> s0
2980,s4 -> s0,s3 -> s3,s3 -> s0
2981,s0 -> s1,s3 -> s3,s3 -> s0
2982,s1 -> s1,s3 -> s3,s3 -> s0
2983,s2 -> s1,s3 -> s3,s3 -> s0
2984,s3 -> s1,s3 -> s3,s3 -> s0
2985,s4 -> s1,s3 -> s3,s3 -> s0
2986,s0 -> s2,s3 -> s3,s3 -> s0
2987,s1 -> s2,s3 -> s3,s3 -> s0
2988,s2 -> s2,s3 -> s3,s3 -> s0
2989,s3 -> s2,s3 -> s3,s3 -> s0
2990,s4 -> s2,s3 -> s3,s3 -> s0
2991,s0 -> s3,s3 -> s3,s3 -> s0
2992,s1 -> s3,s3 -> s3,s3 -> s0
2993,s2 -> s3,s3 -> s3,s3 -> s0
2994,s3 -> s3,s3 -> s3,s3 -> s0
2995,s4 -> s3,s3 -> s3,s3 -> s0
2996,s0 -> s4,s3 -> s3,s3 -> s0
2997,s1 -> s4,s3 -> s3,s3 -> s0
2998,s2 -> s4,s3 -> s3,s3 -> s0
2999,s3 -> s4,s3 -> s3,s3 -> s0
3000,s4 -> s4,s3 -> s3,s3 -> s0
3001,s0 -> s0,s4 -> s3,s3 -> s0
3002,s1 -> s0,s4 -> s3,s3 -> s0
3003,s2 -> s0,s4 -> s3,s3 -> s0
3004,s3 -> s0,s4 -> s3,s3 -> s0
3005,s4 -> s0,s4 -> s3,s3 -> s0
3006,s0 -> s1,s4 -> s3,s3 -> s0
3007,s1 -> s1,s4 -> s3,s3 -> s0
3008,s2 -> s1,s4 -> s3,s3 -> s0
3009,s3 -> s1,s4 -> s3,s3 -> s0
3010,s4 -> s1,s4 -> s3,s3 -> s0
3011,s0 -> s2,s4 -> s3,s3 -> s0
3012,s1 -> s2,s4 -> s3,s3 -> s0
3013,s2 -> s2,s4 -> s3,s3 -> s0
3014,s3 -> s2,s4 -> s3,s3 -> s0
3015,s4 -> s2,s4 -> s3,s3 -> s0
3016,s0 -> s3,s4 -> s3,s3 -> s0
3017,s1 -> s3,s4 -> s3,s3 -> s0
3018,s2 -> s3,s4 -> s3,s3 -> s0
3019,s3 -> s3,s4 -> s3,s3 -> s0
3020,s4 -> s3,s4 -> s3,s3 -> s0
3021,s0 -> s4,s4 -> s3,s3 -> s0
3022,s1 -> s4,s4 -> s3,s3 -> s0
3023,s2 -> s4,s4 -> s3,s3 -> s0
3024,s3 -> s4,s4 -> s3,s3 -> s0
3025,s4 -> s4,s4 -> s3,s3 -> s0
3026,s0 -> s0,s0 -> s4,s3 -> s0
3027,s1 -> s0,s0 -> s4,s3 -> s0
3028,s2 -> s0,s0 -> s4,s3 -> s0
3029,s3 -> s0,s0 -> s4,s3 -> s0
3030,s4 -> s0,s0 -> s4,s3 -> s0
3031,s0 -> s1,s0 -> s4,s3 -> s0
3032,s1 -> s1,s0 -> s4,s3 -> s0
3033,s2 -> s1,s0 -> s4,s3 -> s0
3034,s3 -> s1,s0 -> s4,s3 -> s0
3035,s4 -> s1,s0 -> s4,s3 -> s0
3036,s0 -> s2,s0 -> s4,s3 -> s0
3037,s1 -> s2,s0 -> s4,s3 -> s0
3038,s2 -> s2,s0 -> s4,s3 -> s0
3039,s3 -> s2,s0 -> s4,s3 -> s0
3040,s4 -> s2,s0 -> s4,s3 -> s0
3041,s0 -> s3,s0 -> s4,s3 -> s0
3042,s1 -> s3,s0 -> s4,s3 -> s0
3043,s2 -> s3,s0 -> s4,s3 -> s0
3044,s3 -> s3,s0 -> s4,s3 -> s0
3045,s4 -> s3,s0 -> s4,s3 -> s0
3046,s0 -> s4,s0 -> s4,s3 -> s0
3047,s1 -> s4,s0 -> s4,s3 -> s0
3048,s2 -> s4,s0 -> s4,s3 -> s0
3049,s3 -> s4,s0 -> s4,s3 -> s0
3050,s4 -> s4,s0 -> s4,s3 -> s0
3051,s0 -> s0,s1 -> s4,s3 -> s0
3052,s1 -> s0,s1 -> s4,s3 -> s0
3053,s2 -> s0,s1 -> s4,s3 -> s0
3054,s3 -> s0,s1 -> s4,s3 -> s0
3055,s4 -> s0,s1 -> s4,s3 -> s0
3056,s0 -> s1,s1 -> s4,s3 -> s0
3057,s1 -> s1,s1 -> s4,s3 -> s0
3058,s2 -> s1,s1 -> s4,s3 -> s0
3059,s3 -> s1,s1 -> s4,s3 -> s0
3060,s4 -> s1,s1 -> s4,s3 -> s0
3061,s0 -> s2,s1 -> s4,s3 -> s0
3062,s1 -> s2,s1 -> s4,s3 -> s0
3063,s2 -> s2,s1 -> s4,s3 -> s0
3064,s3 -> s2,s1 -> s4,s3 -> s0
3065,s4 -> s2,s1 -> s4,s3 -> s0
3066,s0 -> s3,s1 -> s4,s3 -> s0
3067,s1 -> s3,s1 -> s4,s3 -> s0
3068,s2 -> s3,s1 -> s4,s3 -> s0
3069,s3 -> s3,s1 -> s4,s3 -> s0
3070,s4 -> s3,s1 -> s4,s3 -> s0
3071,s0 -> s4,s1 -> s4,s3 -> s0
3072,s1 -> s4,s1 -> s4,s3 -> s0
3073,s2 -> s4,s1 -> s4,s3 -> s0
3074,s3 -> s4,s1 -> s4,s3 -> s0
3075,s4 -> s4,s1 -> s4,s3 -> s0
3076,s0 -> s0,s2 -> s4,s3 -> s0
3077,s1 -> s0,s2 -> s4,s3 -> s0
3078,s2 -> s0,s2 -> s4,s3 -> s0
3079,s3 -> s0,s2 -> s4,s3 -> s0
3080,s4 -> s0,s2 -> s4,s3 -> s0
3081,s0 -> s1,s2 -> s4,s3 -> s0
3082,s1 -> s1,s2 -> s4,s3 -> s0
3083,s2 -> s1,s2 -> s4,s3 -> s0
3084,s3 -> s1,s2 -> s4,s3 -> s0
3085,s4 -> s1,s2 -> s4,s3 -> s0
3086,s0 -> s2,s2 -> s4,s3 -> s0
3087,s1 -> s2,s2 -> s4,s3 -> s0
3088,s2 -> s2,s2 -> s4,s3 -> s0
3089,s3 -> s2,s2 -> s4,s3 -> s0
3090,s4 -> s2,s2 -> s4,s3 -> s0
3091,s0 -> s3,s2 -> s4,s3 -> s0
3092,s1 -> s3,s2 -> s4,s3 -> s0
3093,s2 -> s3,s2 -> s4,s3 -> s0
3094,s3 -> s3,s2 -> s4,s3 -> s0
3095,s4 -> s3,s2 -> s4,s3 -> s0
3096,s0 -> s4,s2 -> s4,s3 -> s0
3097,s1 -> s4,s2 -> s4,s3 -> s0
3098,s2 -> s4,s2 -> s4,s3 -> s0
3099,s3 -> s4,s2 -> s4,s3 -> s0
3100,s4 -> s4,s2 -> s4,s3 -> s0
3101,s0 -> s0,s3 -> s4,s3 -> s0
3102,s1 -> s0,s3 -> s4,s3 -> s0
3103,s2 -> s0,s3 -> s4,s3 -> s0
3104,s3 -> s0,s3 -> s4,s3 -> s0
3105,s4 -> s0,s3 -> s4,s3 -> s0
3106,s0 -> s1,s3 -> s4,s3 -> s0
3107,s1 -> s1,s3 -> s4,s3 -> s0
3108,s2 -> s1,s3 -> s4,s3 -> s0
3109,s3 -> s1,s3 -> s4,s3 -> s0
3110,s4 -> s1,s3 -> s4,s3 -> s0
3111,s0 -> s2,s3 -> s4,s3 -> s0
3112,s1 -> s2,s3 -> s4,s3 -> s0
3113,s2 -> s2,s3 -> s4,s3 -> s0
3114,s3 -> s2,s3 -> s4,s3 -> s0
3115,s4 -> s2,s3 -> s4,s3 -> s0
3116,s0 -> s3,s3 -> s4,s3 -> s0
3117,s1 -> s3,s3 -> s4,s3 -> s0
3118,s2 -> s3,s3 -> s4,s3 -> s0
3119,s3 -> s3,s3 -> s4,s3 -> s0
3120,s4 -> s3,s3 -> s4,s3 -> s0
3121,s0 -> s4,s3 -> s4,s3 -> s0
3122,s1 -> s4,s3 -> s4,s3 -> s0
3123,s2 -> s4,s3 -> s4,s3 -> s0
3124,s3 -> s4,s3 -> s4,s3 -> s0
3125,s4 -> s4,s3 -> s4,s3 -> s0
3126,s0 -> s0,s4 -> s4,s3 -> s0
3127,s1 -> s0,s4 -> s4,s3 -> s0
3128,s2 -> s0,s4 -> s4,s3 -> s0
3129,s3 -> s0,s4 -> s4,s3 -> s0
3130,s4 -> s0,s4 -> s4,s3 -> s0
3131,s0 -> s1,s4 -> s4,s3 -> s0
3132,s1 -> s1,s4 -> s4,s3 -> s0
3133,s2 -> s1,s4 -> s4,s3 -> s0
3134,s3 -> s1,s4 -> s4,s3 -> s0
3135,s4 -> s1,s4 -> s4,s3 -> s0
3136,s0 -> s2,s4 -> s4,s3 -> s0
3137,s1 -> s2,s4 -> s4,s3 -> s0
3138,s2 -> s2,s4 -> s4,s3 -> s0
3139,s3 -> s2,s4 -> s4,s3 -> s0
3140,s4 -> s2,s4 -> s4,s3 -> s0
3141,s0 -> s3,s4 -> s4,s3 -> s0
3142,s1 -> s3,s4 -> s4,s3 -> s0
3143,s2 -> s3,s4 -> s4,s3 -> s0
3144,s3 -> s3,s4 -> s4,s3 -> s0
3145,s4 -> s3,s4 -> s4,s3 -> s0
3146,s0 -> s4,s4 -> s4,s3 -> s0
3147,s1 -> s4,s4 -> s4,s3 -> s0
3148,s2 -> s4,s4 -> s4,s3 -> s0
3149,s3 -> s4,s4 -> s4,s3 -> s0
3150,s4 -> s4,s4 -> s4,s3 -> s0
3151,s0 -> s0,s0 -> s0,s4 -> s0
3152,s1 -> s0,s0 -> s0,s4 -> s0
3153,s2 -> s0,s0 -> s0,s4 -> s0
3154,s3 -> s0,s0 -> s0,s4 -> s0
3155,s4 -> s0,s0 -> s0,s4 -> s0
3156,s0 -> s1,s0 -> s0,s4 -> s0
3157,s1 -> s1,s0 -> s0,s4 -> s0
3158,s2 -> s1,s0 -> s0,s4 -> s0
3159,s3 -> s1,s0 -> s0,s4 -> s0
3160,s4 -> s1,s0 -> s0,s4 -> s0
3161,s0 -> s2,s0 -> s0,s4 -> s0
3162,s1 -> s2,s0 -> s0,s4 -> s0
3163,s2 -> s2,s0 -> s0,s4 -> s0
3164,s3 -> s2,s0 -> s0,s4 -> s0
3165,s4 -> s2,s0 -> s0,s4 -> s0
3166,s0 -> s3,s0 -> s0,s4 -> s0
3167,s1 -> s3,s0 -> s0,s4 -> s0
3168,s2 -> s3,s0 -> s0,s4 -> s0
3169,s3 -> s3,s0 -> s0,s4 -> s0
3170,s4 -> s3,s0 -> s0,s4 -> s0
3171,s0 -> s4,s0 -> s0,s4 -> s0
3172,s1 -> s4,s0 -> s0,s4 -> s0
3173,s2 -> s4,s0 -> s0,s4 -> s0
3174,s3 -> s4,s0 -> s0,s4 -> s0
3175,s4 -> s4,s0 -> s0,s4 -> s0
3176,s0 -> s0,s1 -> s0,s4 -> s0
3177,s1 -> s0,s1 -> s0,s4 -> s0
3178,s2 -> s0,s1 -> s0,s4 -> s0
3179,s3 -> s0,s1 -> s0,s4 -> s0
3180,s4 -> s0,s1 -> s0,s4 -> s0
3181,s0 -> s1,s1 -> s0,s4 -> s0
3182,s1 -> s1,s1 -> s0,s4 -> s0
3183,s2 -> s1,s1 -> s0,s4 -> s0
3184,s3 -> s1,s1 -> s0,s4 -> s0
3185,s4 -> s1,s1 -> s0,s4 -> s0
3186,s0 -> s2,s1 -> s0,s4 -> s0
3187,s1 -> s2,s1 -> s0,s4 -> s0
3188,s2 -> s2,s1 -> s0,s4 -> s0
3189,s3 -> s2,s1 -> s0,s4 -> s0
3190,s4 -> s2,s1 -> s0,s4 -> s0
3191,s0 -> s3,s1 -> s0,s4 -> s0
3192,s1 -> s3,s1 -> s0,s4 -> s0
3193,s2 -> s3,s1 -> s0,s4 -> s0
3194,s3 -> s3,s1 -> s0,s4 -> s0
3195,s4 -> s3,s1 -> s0,s4 -> s0
3196,s0 -> s4,s1 -> s0,s4 -> s0
3197,s1 -> s4,s1 -> s0,s4 -> s0
3198,s2 -> s4,s1 -> s0,s4 -> s0
3199,s3 -> s4,s1 -> s0,s4 -> s0
3200,s4 -> s4,s1 -> s0,s4 -> s0
3201,s0 -> s0,s2 -> s0,s4 -> s0
3202,s1 -> s0,s2 -> s0,s4 -> s0
3203,s2 -> s0,s2 -> s0,s4 -> s0
3204,s3 -> s0,s2 -> s0,s4 -> s0
3205,s4 -> s0,s2 -> s0,s4 -> s0
3206,s0 -> s1,s2 -> s0,s4 -> s0
3207,s1 -> s1,s2 -> s0,s4 -> s0
3208,s2 -> s1,s2 -> s0,s4 -> s0
3209,s3 -> s1,s2 -> s0,s4 -> s0
3210,s4 -> s1,s2 -> s0,s4 -> s0
3211,s0 -> s2,s2 -> s0,s4 -> s0
3212,s1 -> s2,s2 -> s0,s4 -> s0
3213,s2 -> s2,s2 -> s0,s4 -> s0
3214,s3 -> s2,s2 -> s0,s4 -> s0
3215,s4 -> s2,s2 -> s0,s4 -> s0
3216,s0 -> s3,s2 -> s0,s4 -> s0
3217,s1 -> s3,s2 -> s0,s4 -> s0
3218,s2 -> s3,s2 -> s0,s4 -> s0
3219,s3 -> s3,s2 -> s0,s4 -> s0
3220,s4 -> s3,s2 -> s0,s4 -> s0
3221,s0 -> s4,s2 -> s0,s4 -> s0
3222,s1 -> s4,s2 -> s0,s4 -> s0
3223,s2 -> s4,s2 -> s0,s4 -> s0
3224,s3 -> s4,s2 -> s0,s4 -> s0
3225,s4 -> s4,s2 -> s0,s4 -> s0
3226,s0 -> s0,s3 -> s0,s4 -> s0
3227,s1 -> s0,s3 -> s0,s4 -> s0
3228,s2 -> s0,s3 -> s0,s4 -> s0
3229,s3 -> s0,s3 -> s0,s4 -> s0
3230,s4 -> s0,s3 -> s0,s4 -> s0
3231,s0 -> s1,s3 -> s0,s4 -> s0
3232,s1 -> s1,s3 -> s0,s4 -> s0
3233,s2 -> s1,s3 -> s0,s4 -> s0
3234,s3 -> s1,s3 -> s0,s4 -> s0
3235,s4 -> s1,s3 -> s0,s4 -> s0
3236,s0 -> s2,s3 -> s0,s4 -> s0
3237,s1 -> s2,s3 -> s0,s4 -> s0
3238,s2 -> s2,s3 -> s0,s4 -> s0
3239,s3 -> s2,s3 -> s0,s4 -> s0
3240,s4 -> s2,s3 -> s0,s4 -> s0
3241,s0 -> s3,s3 -> s0,s4 -> s0
3242,s1 -> s3,s3 -> s0,s4 -> s0
3243,s2 -> s3,s3 -> s0,s4 -> s0
3244,s3 -> s3,s3 -> s0,s4 -> s0
3245,s4 -> s3,s3 -> s0,s4 -> s0
3246,s0 -> s4,s3 -> s0,s4 -> s0
3247,s1 -> s4,s3 -> s0,s4 -> s0
3248,s2 -> s4,s3 -> s0,s4 -> s0
3249,s3 -> s4,s3 -> s0,s4 -> s0
3250,s4 -> s4,s3 -> s0,s4 -> s0
3251,s0 -> s0,s4 -> s0,s4 -> s0
3252,s1 -> s0,s4 -> s0,s4 -> s0
3253,s2 -> s0,s4 -> s0,s4 -> s0
3254,s3 -> s0,s4 -> s0,s4 -> s0
3255,s4 -> s0,s4 -> s0,s4 -> s0
3256,s0 -> s1,s4 -> s0,s4 -> s0
3257,s1 -> s1,s4 -> s0,s4 -> s0
3258,s2 -> s1,s4 -> s0,s4 -> s0
3259,s3 -> s1,s4 -> s0,s4 -> s0
3260,s4 -> s1,s4 -> s0,s4 -> s0
3261,s0 -> s2,s4 -> s0,s4 -> s0
3262,s1 -> s2,s4 -> s0,s4 -> s0
3263,s2 -> s2,s4 -> s0,s4 -> s0
3264,s3 -> s2,s4 -> s0,s4 -> s0
3265,s4 -> s2,s4 -> s0,s4 -> s0
3266,s0 -> s3,s4 -> s0,s4 -> s0
3267,s1 -> s3,s4 -> s0,s4 -> s0
3268,s2 -> s3,s4 -> s0,s4 -> s0
3269,s3 -> s3,s4 -> s0,s4 -> s0
3270,s4 -> s3,s4 -> s0,s4 -> s0
3271,s0 -> s4,s4 -> s0,s4 -> s0
3272,s1 -> s4,s4 -> s0,s4 -> s0
3273,s2 -> s4,s4 -> s0,s4 -> s0
3274,s3 -> s4,s4 -> s0,s4 -> s0
3275,s4 -> s4,s4 -> s0,s4 -> s0
3276,s0 -> s0,s0 -> s1,s4 -> s0
3277,s1 -> s0,s0 -> s1,s4 -> s0
3278,s2 -> s0,s0 -> s1,s4 -> s0
3279,s3 -> s0,s0 -> s1,s4 -> s0
3280,s4 -> s0,s0 -> s1,s4 -> s0
3281,s0 -> s1,s0 -> s1,s4 -> s0
3282,s1 -> s1,s0 -> s1,s4 -> s0
3283,s2 -> s1,s0 -> s1,s4 -> s0
3284,s3 -> s1,s0 -> s1,s4 -> s0
3285,s4 -> s1,s0 -> s1,s4 -> s0
3286,s0 -> s2,s0 -> s1,s4 -> s0
3287,s1 -> s2,s0 -> s1,s4 -> s0
3288,s2 -> s2,s0 -> s1,s4 -> s0
3289,s3 -> s2,s0 -> s1,s4 -> s0
3290,s4 -> s2,s0 -> s1,s4 -> s0
3291,s0 -> s3,s0 -> s1,s4 -> s0
3292,s1 -> s3,s0 -> s1,s4 -> s0
3293,s2 -> s3,s0 -> s1,s4 -> s0
3294,s3 -> s3,s0 -> s1,s4 -> s0
3295,s4 -> s3,s0 -> s1,s4 -> s0
3296,s0 -> s4,s0 -> s1,s4 -> s0
3297,s1 -> s4,s0 -> s1,s4 -> s0
3298,s2 -> s4,s0 -> s1,s4 -> s0
3299,s3 -> s4,s0 -> s1,s4 -> s0
3300,s4 -> s4,s0 -> s1,s4 -> s0
3301,s0 -> s0,s1 -> s1,s4 -> s0
3302,s1 -> s0,s1 -> s1,s4 -> s0
3303,s2 -> s0,s1 -> s1,s4 -> s0
3304,s3 -> s0,s1 -> s1,s4 -> s0
3305,s4 -> s0,s1 -> s1,s4 -> s0
3306,s0 -> s1,s1 -> s1,s4 -> s0
3307,s1 -> s1,s1 -> s1,s4 -> s0
3308,s2 -> s1,s1 -> s1,s4 -> s0
3309,s3 -> s1,s1 -> s1,s4 -> s0
3310,s4 -> s1,s1 -> s1,s4 -> s0
3311,s0 -> s2,s1 -> s1,s4 -> s0
3312,s1 -> s2,s1 -> s1,s4 -> s0
3313,s2 -> s2,s1 -> s1,s4 -> s0
3314,s3 -> s2,s1 -> s1,s4 -> s0
3315,s4 -> s2,s1 -> s1,s4 -> s0
3316,s0 -> s3,s1 -> s1,s4 -> s0
3317,s1 -> s3,s1 -> s1,s4 -> s0
3318,s2 -> s3,s1 -> s1,s4 -> s0
3319,s3 -> s3,s1 -> s1,s4 -> s0
3320,s4 -> s3,s1 -> s1,s4 -> s0
3321,s0 -> s4,s1 -> s1,s4 -> s0
3322,s1 -> s4,s1 -> s1,s4 -> s0
3323,s2 -> s4,s1 -> s1,s4 -> s0
3324,s3 -> s4,s1 -> s1,s4 -> s0
3325,s4 -> s4,s1 -> s1,s4 -> s0
3326,s0 -> s0,s2 -> s1,s4 -> s0
3327,s1 -> s0,s2 -> s1,s4 -> s0
3328,s2 -> s0,s2 -> s1,s4 -> s0
3329,s3 -> s0,s2 -> s1,s4 -> s0
3330,s4 -> s0,s2 -> s1,s4 -> s0
3331,s0 -> s1,s2 -> s1,s4 -> s0
3332,s1 -> s1,s2 -> s1,s4 -> s0
3333,s2 -> s1,s2 -> s1,s4 -> s0
3334,s3 -> s1,s2 -> s1,s4 -> s0
3335,s4 -> s1,s2 -> s1,s4 -> s0
3336,s0 -> s2,s2 -> s1,s4 -> s0
3337,s1 -> s2,s2 -> s1,s4 -> s0
3338,s2 -> s2,s2 -> s1,s4 -> s0
3339,s3 -> s2,s2 -> s1,s4 -> s0
3340,s4 -> s2,s2 -> s1,s4 -> s0
3341,s0 -> s3,s2 -> s1,s4 -> s0
3342,s1 -> s3,s2 -> s1,s4 -> s0
3343,s2 -> s3,s2 -> s1,s4 -> s0
3344,s3 -> s3,s2 -> s1,s4 -> s0
3345,s4 -> s3,s2 -> s1,s4 -> s0
3346,s0 -> s4,s2 -> s1,s4 -> s0
3347,s1 -> s4,s2 -> s1,s4 -> s0
3348,s2 -> s4,s2 -> s1,s4 -> s0
3349,s3 -> s4,s2 -> s1,s4 -> s0
3350,s4 -> s4,s2 -> s1,s4 -> s0
3351,s0 -> s0,s3 -> s1,s4 -> s0
3352,s1 -> s0,s3 -> s1,s4 -> s0
3353,s2 -> s0,s3 -> s1,s4 -> s0
3354,s3 -> s0,s3 -> s1,s4 -> s0
3355,s4 -> s0,s3 -> s1,s4 -> s0
3356,s0 -> s1,s3 -> s1,s4 -> s0
3357,s1 -> s1,s3 -> s1,s4 -> s0
3358,s2 -> s1,s3 -> s1,s4 -> s0
3359,s3 -> s1,s3 -> s1,s4 -> s0
3360,s4 -> s1,s3 -> s1,s4 -> s0
3361,s0 -> s2,s3 -> s1,s4 -> s0
3362,s1 -> s2,s3 -> s1,s4 -> s0
3363,s2 -> s2,s3 -> s1,s4 -> s0
3364,s3 -> s2,s3 -> s1,s4 -> s0
3365,s4 -> s2,s3 -> s1,s4 -> s0
3366,s0 -> s3,s3 -> s1,s4 -> s0
3367,s1 -> s3,s3 -> s1,s4 -> s0
3368,s2 -> s3,s3 -> s1,s4 -> s0
3369,s3 -> s3,s3 -> s1,s4 -> s0
3370,s4 -> s3,s3 -> s1,s4 -> s0
3371,s0 -> s4,s3 -> s1,s4 -> s0
3372,s1 -> s4,s3 -> s1,s4 -> s0
3373,s2 -> s4,s3 -> s1,s4 -> s0
3374,s3 -> s4,s3 -> s1,s4 -> s0
3375,s4 -> s4,s3 -> s1,s4 -> s0
3376,s0 -> s0,s4 -> s1,s4 -> s0
3377,s1 -> s0,s4 -> s1,s4 -> s0
3378,s2 -> s0,s4 -> s1,s4 -> s0
3379,s3 -> s0,s4 -> s1,s4 -> s0
3380,s4 -> s0,s4 -> s1,s4 -> s0
3381,s0 -> s1,s4 -> s1,s4 -> s0
3382,s1 -> s1,s4 -> s1,s4 -> s0
3383,s2 -> s1,s4 -> s1,s4 -> s0
3384,s3 -> s1,s4 -> s1,s4 -> s0
3385,s4 -> s1,s4 -> s1,s4 -> s0
3386,s0 -> s2,s4 -> s1,s4 -> s0
3387,s1 -> s2,s4 -> s1,s4 -> s0
3388,s2 -> s2,s4 -> s1,s4 -> s0
3389,s3 -> s2,s4 -> s1,s4 -> s0
3390,s4 -> s2,s4 -> s1,s4 -> s0
3391,s0 -> s3,s4 -> s1,s4 -> s0
3392,s1 -> s3,s4 -> s1,s4 -> s0
3393,s2 -> s3,s4 -> s1,s4 -> s0
3394,s3 -> s3,s4 -> s1,s4 -> s0
3395,s4 -> s3,s4 -> s1,s4 -> s0
3396,s0 -> s4,s4 -> s1,s4 -> s0
3397,s1 -> s4,s4 -> s1,s4 -> s0
3398,s2 -> s4,s4 -> s1,s4 -> s0
3399,s3 -> s4,s4 -> s1,s4 -> s0
3400,s4 -> s4,s4 -> s1,s4 -> s0
3401,s0 -> s0,s0 -> s2,s4 -> s0
3402,s1 -> s0,s0 -> s2,s4 -> s0
3403,s2 -> s0,s0 -> s2,s4 -> s0
3404,s3 -> s0,s0 -> s2,s4 -> s0
3405,s4 -> s0,s0 -> s2,s4 -> s0
3406,s0 -> s1,s0 -> s2,s4 -> s0
3407,s1 -> s1,s0 -> s2,s4 -> s0
3408,s2 -> s1,s0 -> s2,s4 -> s0
3409,s3 -> s1,s0 -> s2,s4 -> s0
3410,s4 -> s1,s0 -> s2,s4 -> s0
3411,s0 -> s2,s0 -> s2,s4 -> s0
3412,s1 -> s2,s0 -> s2,s4 -> s0
3413,s2 -> s2,s0 -> s2,s4 -> s0
3414,s3 -> s2,s0 -> s2,s4 -> s0
3415,s4 -> s2,s0 -> s2,s4 -> s0
3416,s0 -> s3,s0 -> s2,s4 -> s0
3417,s1 -> s3,s0 -> s2,s4 -> s0
3418,s2 -> s3,s0 -> s2,s4 -> s0
3419,s3 -> s3,s0 -> s2,s4 -> s0
3420,s4 -> s3,s0 -> s2,s4 -> s0
3421,s0 -> s4,s0 -> s2,s4 -> s0
3422,s1 -> s4,s0 -> s2,s4 -> s0
3423,s2 -> s4,s0 -> s2,s4 -> s0
3424,s3 -> s4,s0 -> s2,s4 -> s0
3425,s4 -> s4,s0 -> s2,s4 -> s0
3426,s0 -> s0,s1 -> s2,s4 -> s0
3427,s1 -> s0,s1 -> s2,s4 -> s0
3428,s2 -> s0,s1 -> s2,s4 -> s0
3429,s3 -> s0,s1 -> s2,s4 -> s0
3430,s4 -> s0,s1 -> s2,s4 -> s0
3431,s0 -> s1,s1 -> s2,s4 -> s0
3432,s1 -> s1,s1 -> s2,s4 -> s0
3433,s2 -> s1,s1 -> s2,s4 -> s0
3434,s3 -> s1,s1 -> s2,s4 -> s0
3435,s4 -> s1,s1 -> s2,s4 -> s0
3436,s0 -> s2,s1 -> s2,s4 -> s0
3437,s1 -> s2,s1 -> s2,s4 -> s0
3438,s2 -> s2,s1 -> s2,s4 -> s0
3439,s3 -> s2,s1 -> s2,s4 -> s0
3440,s4 -> s2,s1 -> s2,s4 -> s0
3441,s0 -> s3,s1 -> s2,s4 -> s0
3442,s1 -> s3,s1 -> s2,s4 -> s0
3443,s2 -> s3,s1 -> s2,s4 -> s0
3444,s3 -> s3,s1 -> s2,s4 -> s0
3445,s4 -> s3,s1 -> s2,s4 -> s0
3446,s0 -> s4,s1 -> s2,s4 -> s0
3447,s1 -> s4,s1 -> s2,s4 -> s0
3448,s2 -> s4,s1 -> s2,s4 -> s0
3449,s3 -> s4,s1 -> s2,s4 -> s0
3450,s4 -> s4,s1 -> s2,s4 -> s0
3451,s0 -> s0,s2 -> s2,s4 -> s0
3452,s1 -> s0,s2 -> s2,s4 -> s0
3453,s2 -> s0,s2 -> s2,s4 -> s0
3454,s3 -> s0,s2 -> s2,s4 -> s0
3455,s4 -> s0,s2 -> s2,s4 -> s0
3456,s0 -> s1,s2 -> s2,s4 -> s0
3457,s1 -> s1,s2 -> s2,s4 -> s0
3458,s2 -> s1,s2 -> s2,s4 -> s0
3459,s3 -> s1,s2 -> s2,s4 -> s0
3460,s4 -> s1,s2 -> s2,s4 -> s0
3461,s0 -> s2,s2 -> s2,s4 -> s0
3462,s1 -> s2,s2 -> s2,s4 -> s0
3463,s2 -> s2,s2 -> s2,s4 -> s0
